"","Resident_Macrophages","GBM_MES","Activated_Microglia","MDSCs","Astrocytes","Hypoxic_GBM","Cytotoxic_T_NK","Proliferating_GBM","Quiescent_OPCs","Neurons","Fibroblasts","Glutamatergic_Neurons","CD4_T_Cells","B_Plasma_Cells"
"Resident_Macrophages",0.736769321927656,0.134976306265166,0.700948430977713,0.83351882407974,0.232353602802341,0.21027126649487,0.630484938900574,0.106887133505928,0.00144451259829227,0.315613415143098,0.201785257440522,0.00491899121884661,1.08473637380071,0.0446486232435334
"GBM_MES",0.513408903823163,0.842783685671296,0.485603578550387,0.651325895621822,0.853443540322631,0.565911805019143,0.578936564199566,0.531916529887903,0.322499411332367,0.351593499766025,0.257114896566982,0.474492616008593,0.647093955317631,0.284537740838411
"Activated_Microglia",0.75854477351364,0.144744818497326,0.724818339027413,0.810730454330052,0.229770824095346,0.210772377444811,0.524231288518237,0.108557120338355,0.00479741118237241,0.2984741431148,0.216122909320086,0.00803259236635304,1.09590588522574,0.0433741089164032
"MDSCs",0.781702117573488,0.209433400413561,0.724951881334193,0.956407177653559,0.30709064086845,0.270413179885237,0.8182134091006,0.180438304259547,0.00164037727031475,0.367904518858455,0.313041440561414,0,1.18650034753735,0.20532040337896
"Astrocytes",0.622619743567097,1.00067461512081,0.576011659201207,0.805861124224233,1.01126069176324,0.695082549744758,0.737656690508704,0.676453053325777,0.375485234945558,0.406032068205304,0.414600312111959,0.517692000805413,0.845988716259071,0.318897974183263
"Hypoxic_GBM",0.599638670110038,0.706187381632231,0.557559617582006,0.789021292152644,0.729942861071592,0.529681304063922,0.726474921041113,0.487442373903363,0.253067016628003,0.30179261841389,0.341427330419044,0.333351541085988,0.846721412541712,0.339898673843319
"Cytotoxic_T_NK",0.180369692056174,0.0512319986413815,0.192726376951146,0.234877942290251,0.0720942086019376,0.0630175247254378,0.394279426588858,0.0454204161690178,0,0.038185025709295,0.0614358752371258,0,0.293238091768692,0.00380277380250853
"Proliferating_GBM",0.480471409631986,0.582266875414403,0.447794349094789,0.634186946402403,0.616720973191832,0.448808403856252,0.619688809006643,0.39868106283984,0.239251995507866,0.274147527198727,0.230776875386387,0.299976619785726,0.718492957391591,0.218716313122349
"Quiescent_OPCs",0.316058262708294,0.421689898772339,0.295184212850563,0.42079655509261,0.39759364583171,0.255433221482835,0.380851823356371,0.27141180138062,0.191087373722251,0.1311104093317,0.113978106977662,0.223731339772554,0.461386368822039,0.156368592589891
"Neurons",0.598427951529696,0.503802445554907,0.514064678110273,0.756857142138732,0.511408198703258,0.35642155073826,0.655691233217125,0.3323000065667,0.143832147824665,0.91415861773309,0.261767851307652,0.25699630959748,0.849095157334842,0.284524678622344
"Fibroblasts",0.594912850202534,0.70587672108639,0.517499334310985,1.24100998467856,0.941023652788594,0.657754538869714,1.12716686960252,0.477668302928029,0.0996295723240222,0.57576839851826,0.879550991257488,0.137837491799313,1.1886197022071,0.259502616362977
"Glutamatergic_Neurons",0.461485018016517,0.678279393476836,0.430710859215754,0.530638732286695,0.627114580343105,0.389196326147375,0.441648915363336,0.382979207639998,0.247395005798222,0.274710434073519,0.171368794334153,0.397339881099023,0.570565492796225,0.257762043851844
"CD4_T_Cells",0.830003486074891,0.138463064050654,0.754124685956687,0.897419634030038,0.255025121293395,0.226741535819186,0.71129793971064,0.112645593175681,0.00782892579988843,0.311844231048241,0.229219102787617,0.0050896725628878,1.15203361459981,0.0428196561024896
"B_Plasma_Cells",0.180866934499381,0.0125957399918023,0.184461186515365,0.22100092222134,0.00600052825129593,0.000894015437035849,0.296019241529311,0,0.00123189892581072,0.0518957681412184,0.0141396864167793,0,0.318313468141843,0.00439163306083951
